日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/03/22,永和,PM2.5,7,9,10,10,10,8,10,11,14,14,10,13,12,10,13,15,12,12,17,18,19,17,14,14
2018/03/23,永和,PM2.5,15,18,20,16,13,12,15,18,18,22,20,16,18,18,17,15,13,16,16,16,18,17,17,19
2018/03/24,永和,PM2.5,20,20,23,25,21,21,26,29,24,22,20,17,19,19,24,25,22,23,24,26,26,24,26,27
2018/03/25,永和,PM2.5,26,25,20,19,23,23,22,21,20,21,22,16,11,10,10,12,11,9,7,8,10,12,11,7
2018/03/26,永和,PM2.5,7,9,9,10,9,10,18,23,23,22,27,35,41,42,34,24,20,20,18,21,25,28,28,23
2018/03/27,永和,PM2.5,18,17,14,16,14,13,23,29,26,24,28,30,26,22,22,20,15,18,20,18,20,19,18,18
2018/03/28,永和,PM2.5,15,19,18,11,7,11,10,10,14,14,17,18,14,15,16,14,16,18,14,12,9,7,9,11
2018/03/29,永和,PM2.5,9,9,12,12,10,10,9,9,10,7,7,9,12,13,11,7,6,8,11,12,10,7,6,6
2018/03/30,永和,PM2.5,6,6,7,7,8,7,5,7,9,7,6,8,11,10,7,10,8,7,7,7,8,7,6,7
2018/03/31,永和,PM2.5,9,9,9,12,12,11,11,13,16,15,13,14,15,13,15,17,20,24,25,20,17,21,20,19
2018/04/01,永和,PM2.5,21,20,19,22,24,24,23,20,23,23,24,22,20,21,20,21,21,20,18,18,18,18,17,18
2018/04/02,永和,PM2.5,18,20,22,21,16,14,20,26,25,26,31,28,33,46,45,41,41,43,41,29,22,20,20,24
2018/04/03,永和,PM2.5,25,22,19,18,20,20,18,20,22,24,23,27,39,48,52,46,33,22,17,15,13,13,12,14
2018/04/04,永和,PM2.5,16,16,15,11,10,14,16,18,19,23,33,41,36,30,31,30,30,35,35,28,23,21,19,15
2018/04/05,永和,PM2.5,11,14,14,13,18,17,18,22,18,17,26,33,34,33,33,28,23,21,21,21,23,30,35,29
2018/04/06,永和,PM2.5,26,26,26,25,23,24,19,19,28,,9,7,3,7,10,7,3,6,10,25,34,33,32,26
2018/04/07,永和,PM2.5,28,32,33,32,30,26,27,28,29,31,29,31,34,34,29,23,22,22,20,19,21,19,15,17
2018/04/08,永和,PM2.5,22,22,18,20,21,20,19,19,20,15,12,15,14,12,11,12,14,13,14,16,13,16,18,18
2018/04/09,永和,PM2.5,19,14,13,13,15,19,15,14,18,18,20,19,17,21,21,14,15,16,14,12,16,16,17,20
2018/04/10,永和,PM2.5,20,20,18,18,19,16,11,18,19,21,25,25,27,37,42,34,26,25,27,21,16,21,26,22
2018/04/11,永和,PM2.5,20,19,19,15,11,15,17,17,30,39,37,40,43,41,40,36,33,30,25,23,23,20,25,31
2018/04/12,永和,PM2.5,28,25,25,23,20,20,18,21,25,28,32,26,18,21,26,28,32,27,19,15,15,14,15,12
2018/04/13,永和,PM2.5,7,10,11,8,8,9,12,14,19,24,,25,25,31,40,42,33,26,27,27,24,23,22,20
2018/04/14,永和,PM2.5,22,19,13,9,13,14,16,19,18,20,27,35,34,30,27,23,21,15,15,17,17,14,13,14
2018/04/15,永和,PM2.5,14,10,7,7,7,5,3,5,7,10,10,7,7,10,18,26,28,33,34,33,34,29,30,38
2018/04/16,永和,PM2.5,41,33,21,16,15,13,15,16,14,16,13,13,10,9,10,8,9,9,11,14,14,13,13,11
2018/04/17,永和,PM2.5,13,11,10,11,11,11,13,16,14,14,18,21,20,16,17,16,15,13,15,18,16,14,14,15
2018/04/18,永和,PM2.5,14,15,16,13,9,11,15,12,10,13,14,13,15,13,12,12,11,12,14,16,16,15,12,12
2018/04/19,永和,PM2.5,17,17,15,17,14,9,13,17,15,15,19,16,12,14,14,14,16,14,11,11,10,10,9,11
2018/04/20,永和,PM2.5,8,7,10,14,11,11,16,15,14,11,,21,20,16,16,18,19,23,19,17,18,16,15,14
2018/04/21,永和,PM2.5,13,15,15,14,15,19,22,19,18,28,36,33,29,34,46,53,51,55,45,23,20,23,19,21
2018/04/22,永和,PM2.5,20,17,24,31,27,20,15,15,24,29,28,32,35,31,30,29,21,20,26,26,20,15,16,18
2018/04/23,永和,PM2.5,19,18,12,8,7,6,9,14,21,21,18,20,23,24,24,22,18,17,18,17,16,16,10,7
2018/04/24,永和,PM2.5,7,9,8,9,8,7,9,11,17,23,23,17,7,2,,3,7,8,7,10,14,11,12,17
2018/04/25,永和,PM2.5,20,22,23,22,21,20,18,18,16,18,21,20,17,19,22,26,27,28,33,29,25,27,28,28
2018/04/26,永和,PM2.5,26,24,25,23,23,22,20,20,22,24,20,19,19,16,15,16,18,15,14,17,15,15,16,17
2018/04/27,永和,PM2.5,16,15,13,16,22,21,19,21,25,25,26,34,39,30,21,19,20,18,15,19,21,22,22,21
2018/04/28,永和,PM2.5,22,23,22,18,17,20,20,22,21,18,18,20,21,21,19,18,15,14,16,20,21,22,24,20
2018/04/29,永和,PM2.5,18,18,16,11,11,14,16,17,19,26,34,44,45,41,38,38,37,35,39,46,49,42,32,28
2018/04/30,永和,PM2.5,25,22,22,19,15,14,16,17,19,21,26,32,39,45,38,31,29,31,35,39,40,36,33,31
2018/05/01,永和,PM2.5,27,22,21,16,14,14,14,20,27,34,32,32,35,35,36,33,35,33,32,38,34,33,39,40
2018/05/02,永和,PM2.5,33,30,32,29,26,26,26,27,29,25,24,24,22,25,26,31,27,20,17,18,20,16,16,14
2018/05/03,永和,PM2.5,22,42,42,32,34,34,34,35,30,26,27,25,22,24,27,26,23,26,26,24,26,21,14,13
2018/05/04,永和,PM2.5,12,7,7,10,9,8,8,7,8,10,9,9,8,8,,2,5,7,7,11,11,8,9,6
